Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Australia,AUS,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,..,..,..,..,..
Austria,AUT,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,..,..,..,..,..
Afghanistan,AFG,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,54.75701904,54.75701904,..
Albania,ALB,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,6.556490421,5.757211685,..
Australia,AUS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,4.27449131,4.657865047,..
Austria,AUT,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,9.643548012,9.643548012,..
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,11.420006,4.114196613,3.530422461,6.160177217,7.043181081
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.671519417,5.684427418,6.158147094,6.133261972,6.256195102
Australia,AUS,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,6.299997474,6.085499329,5.798737462,5.777271825,5.615118064
Austria,AUT,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,16.69003646,17.04741463,16.84270767,16.82848458,16.54353279
Afghanistan,AFG,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,2185128132,745350999.3,662076704.1,1112110874,1324079358
Albania,ALB,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,645807416.1,674241295.3,801771620.5,929583699.1,963568581.2
Australia,AUS,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,85083617605,73432814092,76942454182,82530036431,78159776856
Austria,AUT,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,63751123948,67480034847,70278076016,76597902270,73620685068
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..
Albania,ALB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,2.71443113,2.718032979,2.718032979,2.839279
Australia,AUS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,40.65344145,40.5594116,40.5594116,40.55941
Austria,AUT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..
Afghanistan,AFG,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,9.507433905,8.464749289,6.901328545,6.412409422,8.46496564
Albania,ALB,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,5.804435386,4.468150738,4.881038212,4.609022906,4.609076442
Australia,AUS,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,29.4487097,29.41727101,29.60550707,30.19306332,28.47752314
Austria,AUT,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,46.17272463,46.51288925,46.47379674,45.44707605,45.35199604
Afghanistan,AFG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,40,40,40
